scheduler,seed,tasks,arrival_mode,card_cv,card_jfi,max_min_ratio,avg_load_imbalance,completion_rate,throughput,flat_pct,bursty_pct
p2c,2024,800,poisson,0.7007649636414058,0.6856715887968903,2.424619924249144,44378635541.04739,1.0,1.5533980582524272,100,0
p2c,21,800,poisson,0.8587100503330666,0.5966435357158262,12.757194253508224,75658248153.20296,1.0,1.556420233463035,75,25
p2c,42,800,poisson,0.8278627413242298,0.6118332291386239,12.56352541158409,77790744605.65591,1.0,1.5594541910331383,75,25
p2c,99,800,poisson,0.8293892158168354,0.6098246694261201,13.117152748626815,77891230890.0905,1.0,1.5533980582524272,75,25
p2c,123,800,poisson,0.824187040079578,0.6133031207098987,11.965985336142227,76487379929.12755,1.0,1.556420233463035,75,25
p2c,2024,800,poisson,0.850057050914032,0.6041177386528154,13.009316004289664,75793901194.04794,1.0,1.5533980582524272,75,25
p2c,21,800,poisson,1.0076082824225783,0.5203314463947982,25.014108678283957,105855787858.1701,1.0,1.556420233463035,50,50
p2c,42,800,poisson,0.9920363014766561,0.5283400846297057,25.20847980921288,107677712844.55458,1.0,1.5594541910331383,50,50
p2c,99,800,poisson,0.9911428971518358,0.5274103592207178,27.402398105616374,108052977101.03294,1.0,1.5533980582524272,50,50
p2c,123,800,poisson,0.9899047870789668,0.5268593863237997,24.929170199066775,105880458475.45929,1.0,1.556420233463035,50,50
p2c,2024,800,poisson,1.0035525353168893,0.5241689682544566,24.842801170702934,106183479224.93628,1.0,1.5533980582524272,50,50
p2c,21,800,poisson,1.1433711139391358,0.4593275656709414,36.88547821229008,134736287888.73093,1.0,1.556420233463035,25,75
p2c,42,800,poisson,1.1294913203644839,0.46405979170379785,36.97932925409179,137072248016.49045,1.0,1.5594541910331383,25,75
p2c,99,800,poisson,1.136772536409289,0.45927123952413323,36.445772309616096,137358723094.00024,1.0,1.5533980582524272,25,75
p2c,123,800,poisson,1.152089279859757,0.45235892738973144,37.25113845927729,135577754791.49176,1.0,1.556420233463035,25,75
